TAWSuffix,City,State,County.FIPS,State.FIPS
70166C,Huntingdon Beach,CA,59,6
70931,North Hollywood,CA,37,6
74322,Rancho Dominguez,CA,37,6
81183,Rancho Dominguez,CA,37,6
85204,Rancho Dominguez,CA,37,6
70839C,Redwood,CA,55,6
85279,New Hartford,CT,5,9
73249,Miami (Doral),FL,86,12
64564,Chicago`,IL,31,17
92052A,"Oak Brook,",IL,43,17
81457,West Bridgewater,MA,23,25
73420A,Ada,MI,81,26
81441A,Ada,MI,81,26
65448,East China,MI,147,26
65258F,Grand Lake,MI,139,26
63856,Eden Praire,MN,53,27
85684,Belding,MS,81,28
71961,West Chesterfield,NH,5,33
82861,Port Newark,NJ,13,34
74435,Union,NJ,39,34
81338,East Durham,NY,39,36
74187,Mountaintop,PA,79,42
83008KK,West Norriton,PA,91,42
74714,West Norritown,PA,91,42
72512,W. Houston,TX,201,48
73885,Sheyboygan,WI,117,55