NAICS.2-Digit.Code,NAICS.Description,Combo.2-Digit.NAICS
11,Agriculture.Forestry.Fishing.and.Hunting,11
21,Mining.Quarrying.and.Oil.and.Gas.Extraction,21
22,Utilities,22
23,Construction,23
31,Manufacturing,31
32,Manufacturing,31
33,Manufacturing,31
42,Wholesale.Trade,42
44,Retail.Trade,44
45,Retail.Trade,44
48,Transportation.and.Warehousing,48
49,Transportation.and.Warehousing,48
51,Information,51
52,Finance.and.Insurance,52
53,Real.Estate.and.Rental.and.Leasing,53
54,Professional.Scientific.and.Technical.Services,54
55,Management.of.Companies.and.Enterprises,55
56,Administrative.and.Support.and.Waste.Management.and.Remediation.Services,56
61,Educational.Services,61
62,Health.Care.and.Social.Assistance,62
71,Arts.Entertainment.and.Recreation,71
72,Accommodation.and.Food.Services,72
81,Other.Services.except.Public.Administration,81
92,Public.Administration,92