TAWSuffix,City,State,County.FIPS,State.FIPS,Correction
64066,East Gadsden,AL,55,1,
70788,Perdue Hill,AL,99,1,
72599,Ft. Smith,AR,131,5,
85286D,Pine Buff,AR,69,5,
90227,Chatsworth,CA,37,6,
70153,City of Industry,CA,37,6,
71670A,City of Industry,CA,37,6,
74156,City of Industry,CA,37,6,
91609,City of Industry,CA,37,6,
85108,Etiwanda,CA,71,6,
71054,Foothill Ranch,CA,59,6,
81612A,Newbury Park,CA,111,6,
81970,Newbury Park,CA,111,6,
85391,Sylmar,CA,37,6,
74292A,Valencia,CA,37,6,
82043,Valencia,CA,37,6,
82793,Valencia,CA,37,6,
83008H,Valencia,CA,37,6,
64892,Van Nuys,CA,37,6,
85994,Van Nuys,CA,37,6,
91859,Van Nuys,CA,37,6,
71045,Berlin,CT,3,9,
83199,Berlin,CT,3,9,
64783,Bloomfield,CT,3,9,
81470,Bloomfield,CT,3,9,
90082,Bloomfield,CT,3,9,
82771,Brookfield,CT,1,9,
72877Q,Chesire,CT,9,9,
71054C,Cromwell,CT,7,9,
73676E,Cromwell,CT,7,9,
72798,East Granby,CT,3,9,
64741,Enfield,CT,3,9,
74893,Enfield,CT,3,9,
85298,Enfield,CT,3,9,
72789,Farmington,CT,3,9,
74396,Farmington,CT,3,9,
82886,Middlebury,CT,9,9,
65230,Monroe,CT,1,9,
72336,Plymouth,CT,5,9,
73245,Rocky Hill,CT,3,9,
74823A,Southington,CT,3,9,
64813,Tolland,CT,13,9,
81399,Tolland,CT,13,9,
81687,Vernon,CT,13,9,
74960,Versailles,CT,11,9,
85454,Versailles,CT,11,9,
70431,Ft. Lauderdale,FL,11,12,
73414,Midland,GA,215,13,
85469,Midland,GA,215,13,
91593,Puunene,HI,9,15,
91758,Puunene,HI,9,15,
91758A,Puunene,HI,9,15,
75274,Abbott Park,IL,97,17,
91684,Abbott Park,IL,97,17,
72998A,Mt. Vernon,IN,129,18,
72161,Bardentown,KY,179,21,
85363,Mt. Sterling,KY,173,21,
91109,Mt. Sterling,KY,173,21,
82773,Wurland,KY,89,21,
71782,Taylor,LA,13,22,
81503,Acton,MA,17,25,
82363,Acton,MA,17,25,
71272A,Auburn,MA,27,25,
90166,Avon,MA,21,25,
90166A,Avon,MA,21,25,
70448,Billerica,MA,17,25,
71123,Billerica,MA,17,25,
73805,Billerica,MA,17,25,
74411B,Billerica,MA,17,25,
81421H,Billerica,MA,17,25,
82449,Billerica,MA,17,25,
64722,Canton,MA,21,25,
70153B,Canton,MA,21,25,
70058F,Chelmsford,MA,17,25,
70058O,Chelmsford,MA,17,25,
70058Z,Chelmsford,MA,17,25,
72877K,Chelmsford,MA,17,25,
75297,Chelmsford,MA,17,25,
71763B,Dartmouth,MA,5,25,
64267,Dudley,MA,27,25,
73843,East Longmeadow,MA,13,25,
73843A,East Longmeadow,MA,13,25,
82572,East Longmeadow,MA,13,25,
82572A,East Longmeadow,MA,13,25,
71763,Fairhaven,MA,5,25,
73590,Georgetown,MA,9,25,
82237G,Grafton,MA,27,25,
71624,Hebronville,MA,5,25,
73197,Holden,MA,27,25,
83227A,Holliston,MA,17,25,
74290,Middleton,MA,9,25,
85097,Middleton,MA,9,25,
64474,Plainville,MA,21,25,
70166K,Rochester,MA,23,25,
82630,Rockland,MA,23,25,
65005,Shrewsbury,MA,27,25,
81265,Shrewsbury,MA,27,25,
65271,South Attleboro,MA,5,25,
64379,South Boston,MA,25,25,
91361,South Easton,MA,5,25,
81763,South Hadley,MA,15,25,
70936,Stoughton,MA,21,25,
74112,Tewksbury,MA,17,25,
82213,Tewksbury,MA,17,25,
64738,Westwood,MA,21,25,
82439,Westwood,MA,21,25,
83199A,Westwood,MA,21,25,
74944,Hanover,MD,27,24,
82064H,Hanover,MD,27,24,
86011B,Hunt Valley,MD,5,24,
70021,Andover,ME,17,23,
91198,Chester,ME,19,23,
74204,Greenwood,ME,17,23,
64370,Jay,ME,7,23,
70022,Jay,ME,7,23,
90212,Jay,ME,7,23,
81155A,Monmouth,ME,11,23,
73359,Monson,ME,21,23,
64856,New Limerick,ME,3,23,
74748,Patten,ME,19,23,
70006,Portage Lake,ME,3,23,
73543,Prospect Harbor,ME,9,23,
72422,St. David,ME,3,23,
70004,Stacyville,ME,19,23,
65554,Afton,MI,31,26,
70565B,Commerce Township,MI,125,26,
72022,Erie,MI,115,26,
72484,Macomb,MI,99,26,
70521,Mt Pleasant,MI,73,26,
70451,Mt. Pleasant,MI,73,26,
74211,Mt. Pleasant,MI,73,26,
74770A,Mt. Pleasant,MI,73,26,
80168,Mt. Pleasant,MI,73,26,
64734,Newport,MI,115,26,
70522A,Shelby Township,MI,99,26,
71095,Shelby Township,MI,99,26,
71345,Shelby Township,MI,99,26,
72639,Shelby Township,MI,99,26,
70575,Van Buren Township,MI,163,26,
85796B,Mt. Iron,MN,137,27,
91321,Mt. Iron,MN,137,27,
91554A,Opole,MN,145,27,
65028E,South Baxter,MN,35,27,
71499A,Earth City,MO,189,29,
71518,Earth City,MO,189,29,
71529,Earth City,MO,189,29,
73434,Earth City,MO,189,29,
85440A,Huntsville,NC,197,37,
70717,Linwood,NC,57,37,
65399,Mt. Airy,NC,171,37,
81039,Mt. Airy,NC,171,37,
81039B,Mt. Airy,NC,171,37,
64739,Mt. Holly,NC,71,37,
70018,Mt. Holly,NC,71,37,
64099,New Hill,NC,183,37,
85704,New Hill,NC,183,37,
63989D,Oakes,NC,135,37,
81421E,Research Triangle,NC,63,37,
64253A,Research Triangle Park,NC,63,37,
71358K,Research Triangle Park,NC,63,37,
72670,Research Triangle Park,NC,63,37,
73966,Research Triangle Park,NC,63,37,
74316E,Research Triangle Park,NC,63,37,
74411,Research Triangle Park,NC,63,37,
85440,Research Triangle Park,NC,63,37,
74849U,Bedford,NH,11,33,
81516,Bedford,NH,11,33,
73102G,Nashua,NH,11,33,1
64571,Salem,NH,15,33,
64582,Salem,NH,15,33,
82162,Salem,NH,15,33,
82162A,Salem,NH,15,33,
80338,West Lebanon,NH,9,33,
85389,West Lebanon,NH,9,33,
80181,Clark,NJ,39,34,
80096,Edison,NJ,23,34,
83246,Edison,NJ,23,34,
91964,Edison,NJ,23,34,
74117,Fairfield,NJ,13,34,
70032,Livingston,NJ,13,34,
74429,Livingston,NJ,13,34,
83008BB,Lyndhurst,NJ,3,34,
74144,Nutley,NJ,13,34,
71501N,Teaneck,NJ,3,34,
91223,Wayne,NJ,31,34,
91675,Wayne,NJ,31,34,
71008,Amherst,NY,29,36,
82718,Ancram,NY,21,36,
74138,Astoria,NY,81,36,
83305,Dewitt,NY,67,36,
75308,Queensbury,NY,113,36,
83206,Ulster Park,NY,111,36,
72384,Mt. Orab,OH,15,39,
70907,Mt. Vernon,OH,83,39,
70324A,Rootstown,OH,133,39,
71287B,Seal Township,OH,131,39,
64389,Sharon Center,OH,103,39,
83298,Symmes Township,OH,61,39,
85141,North Tulsa,OK,143,40,
70058II,Tigard,OR,67,41,1
91279,Bagdad,PA,5,42,
74250,Bensalem,PA,17,42,
82634,Dresher,PA,91,42,
82848A,Dresher,PA,91,42,
82990,Dresher,PA,91,42,
73426,Etters,PA,133,42,
81145A,Lester,PA,45,42,
74428,Mt. Holly Springs,PA,41,42,
82847,Mt. Joy,PA,71,42,
64301,National Heights,PA,3,42,
92099,Philadephia,PA,101,42,
83144A,Rockhill Furnace,PA,61,42,
70406,Transfer,PA,85,42,
72893,Bristol,RI,1,44,
64213,East Greenwich,RI,3,44,
74680,East Greenwich,RI,3,44,
85598,Fiskeville,RI,7,44,
70892,Johnston,RI,7,44,
75077,Johnston,RI,7,44,
64109,Lincoln,RI,7,44,
71847,Lincoln,RI,7,44,
72873,Riverside,RI,7,44,
72873A,Riverside,RI,7,44,
91143,Riverside,RI,7,44,
85836,West Greenwich,RI,3,44,
81888,Hamer,SC,33,45,
91285,Hamer,SC,33,45,
81905,Huger,SC,15,45,
64597,Lupton,TN,65,47,
64170,Mt. Pleasant,TN,119,47,
70274,Mt. Pleasant,TN,119,47,
73915,Mt. Pleasant,TN,119,47,
70683,Old Hickory,TN,37,47,
74618,Whitesburg,TN,63,47,
81952,DFW International Airport,TX,439,48,
64108A,Afton,VA,125,51,
73532,Meadows of Dan,VA,141,51,
85625,Vernon,VT,25,50,
65808A,Williston,VT,7,50,
72951,Williston,VT,7,50,
82839,Williston,VT,7,50,
85482,Beaver,WA,9,53,
65521,Malaga,WA,7,53,
65527,Malaga,WA,7,53,
91125,Malaga,WA,7,53,
63880A,Washougal,WA,11,53,1
74895C,Waukesha,WI,133,55,
80422A,Eglon,WV,77,54,
81021,Institute,WV,39,54,
83033,Letart,WV,53,54,
91318,Letart,WV,53,54,
70015E,Mt. Hope,WV,19,54,
70015F,Mt. Hope,WV,19,54,